display_name,works_count,author_id,works_api_url,h_index,country_code
Rebecca J. Schwei,57,https://openalex.org/A5016968902,https://api.openalex.org/works?filter=author.id:A5016968902,17,US
Francesco Martinico,54,https://openalex.org/A5064422833,https://api.openalex.org/works?filter=author.id:A5064422833,11,IT
Daria Roithmayr,43,https://openalex.org/A5004025652,https://api.openalex.org/works?filter=author.id:A5004025652,12,US
Shenghao Zhu,23,https://openalex.org/A5035485110,https://api.openalex.org/works?filter=author.id:A5035485110,9,CN
Ahmad Alabdulkareem,21,https://openalex.org/A5102756489,https://api.openalex.org/works?filter=author.id:A5102756489,6,
Haipeng Xiong,16,https://openalex.org/A5056609571,https://api.openalex.org/works?filter=author.id:A5056609571,11,SG
Allegra A. Beal Cohen,11,https://openalex.org/A5005226838,https://api.openalex.org/works?filter=author.id:A5005226838,5,
Chong Jin Ong,8,https://openalex.org/A5034434806,https://api.openalex.org/works?filter=author.id:A5034434806,5,SG
Justin Souvenir Niweteto,1,https://openalex.org/A5010639557,https://api.openalex.org/works?filter=author.id:A5010639557,1,RW
Romano Fantacci,558,https://openalex.org/A5005457508,https://api.openalex.org/works?filter=author.id:A5005457508,38,IT
Paolo Manghi,321,https://openalex.org/A5087882533,https://api.openalex.org/works?filter=author.id:A5087882533,21,IT
Ulrike Hahn,275,https://openalex.org/A5083400955,https://api.openalex.org/works?filter=author.id:A5083400955,47,GB
Maurice E. Schweitzer,256,https://openalex.org/A5021144215,https://api.openalex.org/works?filter=author.id:A5021144215,50,US
Marco Tomassini,239,https://openalex.org/A5077231672,https://api.openalex.org/works?filter=author.id:A5077231672,36,CH
Brian Ó Gallachóir,232,https://openalex.org/A5046897344,https://api.openalex.org/works?filter=author.id:A5046897344,50,IE
Xavier Puig,201,https://openalex.org/A5070624001,https://api.openalex.org/works?filter=author.id:A5070624001,23,ES
Trey Hedden,188,https://openalex.org/A5066159823,https://api.openalex.org/works?filter=author.id:A5066159823,66,
Sergi Vidal,121,https://openalex.org/A5027289201,https://api.openalex.org/works?filter=author.id:A5027289201,25,ES
Dirgha J. Ghimire,101,https://openalex.org/A5033927202,https://api.openalex.org/works?filter=author.id:A5033927202,28,US
Jocelyn Olcott,90,https://openalex.org/A5079008360,https://api.openalex.org/works?filter=author.id:A5079008360,15,US
Young‐Jae Kim,78,https://openalex.org/A5100458490,https://api.openalex.org/works?filter=author.id:A5100458490,5,KR
David Corney,71,https://openalex.org/A5059911956,https://api.openalex.org/works?filter=author.id:A5059911956,19,US
Sandra Jarvis-Selinger,54,https://openalex.org/A5009855289,https://api.openalex.org/works?filter=author.id:A5009855289,19,CA
John Gerdes,52,https://openalex.org/A5076943367,https://api.openalex.org/works?filter=author.id:A5076943367,18,US
Timothy Schmutte,44,https://openalex.org/A5000240820,https://api.openalex.org/works?filter=author.id:A5000240820,16,US
Rainer Kujala,28,https://openalex.org/A5004031974,https://api.openalex.org/works?filter=author.id:A5004031974,8,FI
Mikaela Lindeman,21,https://openalex.org/A5004696201,https://api.openalex.org/works?filter=author.id:A5004696201,7,FI
Ben Kaiser,15,https://openalex.org/A5073886734,https://api.openalex.org/works?filter=author.id:A5073886734,6,US
Olivia Kang,15,https://openalex.org/A5080218059,https://api.openalex.org/works?filter=author.id:A5080218059,10,CN
Lan Gao,14,https://openalex.org/A5053248246,https://api.openalex.org/works?filter=author.id:A5053248246,5,US
NP Johnson,13,https://openalex.org/A5108526333,https://api.openalex.org/works?filter=author.id:A5108526333,8,
Michael Greisel,9,https://openalex.org/A5047063427,https://api.openalex.org/works?filter=author.id:A5047063427,7,DE
Oliver E. Williams,7,https://openalex.org/A5073206938,https://api.openalex.org/works?filter=author.id:A5073206938,3,GB
Christiaan Burggraaff,1,https://openalex.org/A5073806109,https://api.openalex.org/works?filter=author.id:A5073806109,1,NL
Michael Marmot,1416,https://openalex.org/A5074409311,https://api.openalex.org/works?filter=author.id:A5074409311,193,GB
Cecilia Mascolo,490,https://openalex.org/A5010623957,https://api.openalex.org/works?filter=author.id:A5010623957,66,
Vincent Yzerbyt,412,https://openalex.org/A5088201078,https://api.openalex.org/works?filter=author.id:A5088201078,68,BE
Jacques Crémer,144,https://openalex.org/A5082582090,https://api.openalex.org/works?filter=author.id:A5082582090,31,FR
Yaakov Kareev,113,https://openalex.org/A5009914424,https://api.openalex.org/works?filter=author.id:A5009914424,22,
Sandeep Soni,87,https://openalex.org/A5033829606,https://api.openalex.org/works?filter=author.id:A5033829606,15,US
Qiufen Xia,67,https://openalex.org/A5051876680,https://api.openalex.org/works?filter=author.id:A5051876680,20,CN
